Unique No,Scheme Code,RTA Scheme Code,AMC Scheme Code,ISIN,AMC Code,Scheme Type,Scheme Plan,Scheme Name,Purchase Allowed,Purchase Transaction mode,Minimum Purchase Amount,Additional Purchase Amount,Maximum Purchase Amount,Purchase Amount Multiplier,Purchase Cutoff Time,Redemption Allowed,Redemption Transaction Mode,Minimum Redemption Qty,Redemption Qty Multiplier,Maximum Redemption Qty,Redemption Amount - Minimum,Redemption Amount â Maximum,Redemption Amount Multiple,Redemption Cut off Time,RTA Agent Code,AMC Active Flag,Dividend Reinvestment Flag,SIP FLAG,STP FLAG,SWP Flag,Switch FLAG,SETTLEMENT TYPE,AMC_IND,Face Value,Start Date,End Date,Exit Load Flag,Exit Load,Lock-in Period Flag,Lock-in Period,Channel Partner Code,ReOpening Date,Unnamed: 43
24533,HD60T-DR,60T,60T,INF179K01VG5,HDFCMutualFund_MF,DEBT,DIRECT,HDFC LOW DURATION FUND - DIRECT PLAN - RETAIL PLAN - MONTHLY IDCW REINVESTMENT,Y,P,100.0,100.0,0.0,1.0,14:30:00,Y,P,100.0,0.001,0.0,100.0,0.0,1.0,15:00:00,CAMS,1,Y,Y,N,Y,Y,T1,,10.0,Sep 18 2017,Sep 18 2099,N,0.0,N,0.0,H60T,,
24534,HD60T-DR-L1,60T,60T,INF179K01VG5,HDFCMutualFund_MF,DEBT,DIRECT,HDFC LOW DURATION FUND - DIRECT PLAN - RETAIL PLAN - MONTHLY IDCW REINVESTMENT,Y,P,200000.0,200000.0,0.0,1.0,14:30:00,N,P,100.0,0.001,0.0,500.0,0.0,1.0,14:30:00,CAMS,1,Y,Y,N,N,N,L1,,10.0,Sep 18 2017,Sep 18 2099,N,0.0,N,0.0,H60T,,
24051,HD61-DR,61,61,INF179K01400,HDFCMutualFund_MF,EQUITY,NORMAL,HDFC VALUE FUND - REGULAR PLAN - IDCW REINVESTMENT,Y,P,100.0,100.0,0.0,1.0,14:30:00,Y,P,0.001,0.001,0.0,100.0,0.0,1.0,15:00:00,CAMS,1,Y,Y,N,Y,Y,T2,,1.0,Jul 29 2016,Jul 29 2099,N,0.0,N,0.0,H61,,
24052,HD61-DR-L1,61,61,INF179K01400,HDFCMutualFund_MF,EQUITY,NORMAL,HDFC VALUE FUND - REGULAR PLAN - IDCW REINVESTMENT,Y,P,200000.0,200000.0,0.0,1.0,14:30:00,N,P,0.001,0.001,0.0,500.0,0.0,1.0,14:30:00,CAMS,1,Y,Y,N,N,N,L1,,1.0,Jul 29 2016,Jul 29 2099,N,0.0,N,0.0,H61,,
24467,HD61T-DP-L1,61T,61T,INF179K01VA8,HDFCMutualFund_MF,EQUITY,DIRECT,HDFC VALUE FUND - DIRECT PLAN - IDCW PAYOUT,N,DP,200000.0,200000.0,0.0,1.0,14:30:00,N,DP,0.001,0.001,0.0,500.0,0.0,1.0,14:30:00,CAMS,1,N,N,N,N,N,L1,,10.0,Sep 18 2017,Sep 18 2099,N,0.0,N,0.0,H61T,,
24520,HD61T-DR,61T,61T,INF179K01VA8,HDFCMutualFund_MF,EQUITY,DIRECT,HDFC VALUE FUND - DIRECT PLAN - IDCW REINVESTMENT,Y,P,100.0,100.0,0.0,1.0,14:30:00,Y,P,0.001,0.001,0.0,100.0,0.0,1.0,15:00:00,CAMS,1,Y,Y,N,Y,Y,T2,,10.0,Sep 18 2017,Sep 18 2099,N,0.0,N,0.0,H61T,,
24525,HD61T-DR-L1,61T,61T,INF179K01VA8,HDFCMutualFund_MF,EQUITY,DIRECT,HDFC VALUE FUND - DIRECT PLAN - IDCW REINVESTMENT,Y,P,200000.0,200000.0,0.0,1.0,14:30:00,N,P,0.001,0.001,0.0,500.0,0.0,1.0,14:30:00,CAMS,1,Y,Y,N,N,N,L1,,10.0,Sep 18 2017,Sep 18 2099,N,0.0,N,0.0,H61T,,
36933,HDAADDP-DP,AADDP,AADDP,INF179KC1BB1,HDFCMutualFund_MF,DEBT,DIRECT,HDFC MULTI-ASSET ACTIVE FOF DIRECT IDCW PAYOUT,Y,DP,100.0,100.0,0.0,1.0,14:30:00,Y,DP,0.001,0.001,0.0,100.0,0.0,1.0,15:00:00,CAMS,1,N,Y,N,Y,Y,T2,,10.0,May 10 2021,May 10 2099,N,0.0,N,0.0,HAADDP,,
37096,HDAADDP-DP-L1,AADDP,AADDP,INF179KC1BB1,HDFCMutualFund_MF,DEBT,DIRECT,HDFC MULTI-ASSET ACTIVE FOF DIRECT IDCW PAYOUT,Y,DP,200000.0,200000.0,0.0,1.0,14:30:00,N,DP,0.001,0.001,0.0,500.0,0.0,0.01,14:30:00,CAMS,1,N,Y,N,N,N,L1,,10.0,May 10 2021,May 10 2099,N,0.0,N,0.0,HAADDP,,
36934,HDAADDP-DR,AADDP,AADDP,INF179KC1BB1,HDFCMutualFund_MF,DEBT,DIRECT,HDFC MULTI-ASSET ACTIVE FOF DIRECT IDCW REINVESTMENT,Y,P,100.0,100.0,0.0,1.0,14:30:00,Y,P,0.001,0.001,0.0,100.0,0.0,1.0,15:00:00,CAMS,1,Y,Y,N,Y,Y,T2,,10.0,May 10 2021,May 10 2099,N,0.0,N,0.0,HAADDP,,
37097,HDAADDP-DR-L1,AADDP,AADDP,INF179KC1BB1,HDFCMutualFund_MF,DEBT,DIRECT,HDFC MULTI-ASSET ACTIVE FOF DIRECT IDCW REINVESTMENT,Y,P,200000.0,200000.0,0.0,1.0,14:30:00,N,P,0.001,0.001,0.0,500.0,0.0,0.01,14:30:00,CAMS,1,Y,Y,N,N,N,L1,,10.0,May 10 2021,May 10 2099,N,0.0,N,0.0,HAADDP,,
36936,HDAADGR-GR,AADGR,AADGR,INF179KC1BA3,HDFCMutualFund_MF,DEBT,DIRECT,HDFC MULTI-ASSET ACTIVE FOF DIRECT GROWTH,Y,DP,100.0,100.0,0.0,1.0,14:30:00,Y,DP,0.001,0.001,0.0,100.0,0.0,1.0,15:00:00,CAMS,1,Z,Y,N,Y,Y,T2,,10.0,May 10 2021,May 10 2099,N,0.0,N,0.0,HAADGR,,
37099,HDAADGR-GR-L1,AADGR,AADGR,INF179KC1BA3,HDFCMutualFund_MF,DEBT,DIRECT,HDFC MULTI-ASSET ACTIVE FOF DIRECT GROWTH,Y,DP,200000.0,200000.0,0.0,1.0,14:30:00,N,DP,0.001,0.001,0.0,500.0,0.0,0.01,14:30:00,CAMS,1,Z,Y,N,N,N,L1,,10.0,May 10 2021,May 10 2099,N,0.0,N,0.0,HAADGR,,
36929,HDAARDP-DP,AARDP,AARDP,INF179KC1BE5,HDFCMutualFund_MF,DEBT,NORMAL,HDFC MULTI-ASSET ACTIVE FOF REGULAR IDCW PAYOUT,Y,DP,100.0,100.0,0.0,1.0,14:30:00,Y,DP,0.001,0.001,0.0,100.0,0.0,1.0,15:00:00,CAMS,1,N,Y,N,Y,Y,T2,,10.0,May 10 2021,May 10 2099,N,0.0,N,0.0,HAARDP,,
37092,HDAARDP-DP-L1,AARDP,AARDP,INF179KC1BE5,HDFCMutualFund_MF,DEBT,NORMAL,HDFC MULTI-ASSET ACTIVE FOF REGULAR IDCW PAYOUT,Y,DP,200000.0,200000.0,0.0,1.0,14:30:00,N,DP,0.001,0.001,0.0,500.0,0.0,0.01,14:30:00,CAMS,1,N,Y,N,N,N,L1,,10.0,May 10 2021,May 10 2099,N,0.0,N,0.0,HAARDP,,
36930,HDAARDP-DR,AARDP,AARDP,INF179KC1BE5,HDFCMutualFund_MF,DEBT,NORMAL,HDFC MULTI-ASSET ACTIVE FOF REGULAR IDCW REINVESTMENT,Y,P,100.0,100.0,0.0,1.0,14:30:00,Y,P,0.001,0.001,0.0,100.0,0.0,1.0,15:00:00,CAMS,1,Y,Y,N,Y,Y,T2,,10.0,May 10 2021,May 10 2099,N,0.0,N,0.0,HAARDP,,
37093,HDAARDP-DR-L1,AARDP,AARDP,INF179KC1BE5,HDFCMutualFund_MF,DEBT,NORMAL,HDFC MULTI-ASSET ACTIVE FOF REGULAR IDCW REINVESTMENT,Y,P,200000.0,200000.0,0.0,1.0,14:30:00,N,P,0.001,0.001,0.0,500.0,0.0,0.01,14:30:00,CAMS,1,Y,Y,N,N,N,L1,,10.0,May 10 2021,May 10 2099,N,0.0,N,0.0,HAARDP,,
